job_id,config,project,initial_numPass,is_success,max_numPass,final_fitness,final_iteration,optimal_iteration,first_improvement_iteration,convergence_90_iteration,total_evaluations,actual_executions,predictions,duration_seconds,prediction_rate,time_to_first_improvement_sec
179,TO-70,FruitCatching-22,5,False,20,25.62383957820799,263,,1.0,67,12672,4260,8412,12087.0,66.38257575757575,45.958174904942965
180,TO-70,FruitCatching-23,5,False,17,24.041572022748493,224,,1.0,5,10800,3578,7222,12060.0,66.87037037037037,53.83928571428571
181,TO-70,FruitCatching-24,17,False,18,24.264829204712427,166,,62.0,0,8016,2630,5386,10639.0,67.19061876247505,3973.602409638554
182,TO-70,FruitCatching-25,2,False,13,23.0,279,,1.0,18,13440,3929,9511,9721.0,70.76636904761905,34.842293906810035
183,TO-70,FruitCatching-26,16,False,17,23.59784990495923,256,,1.0,0,12336,4049,8287,9364.0,67.17736705577173,36.578125
184,TO-70,FruitCatching-27,17,False,18,26.0,294,,128.0,12,14160,4348,9812,10933.0,69.29378531073446,4759.9455782312925
185,TO-70,FruitCatching-28,26,False,26,27.433333333333334,100,,,0,4848,1582,3266,7013.0,67.36798679867987,
186,TO-70,FruitCatching-29,21,False,21,25.6189393939394,102,,,0,4944,1616,3328,4917.0,67.31391585760518,
187,TO-70,FruitCatching-3,12,False,17,24.27545896807642,275,,1.0,0,13248,4367,8881,10024.0,67.03653381642512,36.45090909090909
188,TO-70,FruitCatching-30,13,False,15,24.0,151,,1.0,24,7296,2208,5088,12044.0,69.73684210526315,79.76158940397352
189,TO-70,FruitCatching-31,15,False,17,24.29925343018563,156,,1.0,0,7536,2380,5156,10022.0,68.41825902335457,64.24358974358974
190,TO-70,FruitCatching-32,22,False,24,25.96170594178808,133,,2.0,0,6432,2146,4286,6236.0,66.63557213930348,93.77443609022556
191,TO-70,FruitCatching-33,17,False,19,24.72796451914099,187,,54.0,0,9024,2948,6076,12101.0,67.33156028368793,3494.4064171122996
192,TO-70,FruitCatching-34,24,False,24,26.256699048775552,101,,,0,4896,1621,3275,4660.0,66.89133986928104,
193,TO-70,FruitCatching-35,23,False,23,26.152380952380955,126,,,0,6096,2000,4096,6154.0,67.19160104986877,
194,TO-70,FruitCatching-36,4,False,12,26.0,278,,1.0,67,13392,3935,9457,6117.0,70.6167861409797,22.00359712230216
195,TO-70,FruitCatching-37,17,False,19,26.0,145,,1.0,0,7008,2129,4879,5206.0,69.62043378995433,35.90344827586207
196,TO-70,FruitCatching-38,17,False,22,25.55952380952381,276,,1.0,0,13296,4359,8937,12059.0,67.21570397111914,43.69202898550725
197,TO-70,FruitCatching-39,14,False,18,24.15425385480533,188,,84.0,0,9072,2957,6115,12064.0,67.4052028218695,5390.297872340425
198,TO-70,FruitCatching-4,20,False,22,25.373809523809527,113,,9.0,0,5472,1774,3698,4455.0,67.58040935672514,354.82300884955754
199,TO-70,FruitCatching-40,20,False,21,25.09902998236332,100,,1.0,0,4848,1556,3292,3804.0,67.9042904290429,38.04
200,TO-70,FruitCatching-41,16,False,17,23.867504409171072,118,,31.0,0,5712,1939,3773,12190.0,66.05392156862744,3202.4576271186443
201,TO-70,FruitCatching-5,1,False,3,13.820215138396955,123,,15.0,0,5952,2011,3941,1881.0,66.21303763440861,229.390243902439
202,TO-70,FruitCatching-6,19,False,20,25.843398268398268,198,,1.0,0,9552,3137,6415,10617.0,67.15871021775544,53.621212121212125
